Ranking for line to vec score of the best 30 fragments
K.8981
Score                 Weighted Score

K.3054         ,16     K.3054         ,31     
K.8981         ,16     K.8981         ,31     
K.10797        ,15     K.10797        ,30     
BM.34391       ,11     BM.34391       ,21     
BM.34809       ,11     BM.34809       ,21     
BM.36287       ,11     BM.36287       ,21     
BM.40970       ,11     BM.40970       ,21     
BM.54680       ,11     BM.54680       ,21     
BM.59115       ,11     BM.59115       ,21     
BM.68449       ,11     BM.68449       ,21     
BM.72277       ,11     BM.72277       ,21     
BM.98719       ,11     BM.98719       ,21     
K.11065        ,11     K.11065        ,21     
K.11263        ,11     K.11263        ,21     
K.12150        ,11     K.12150        ,21     
K.12249        ,11     K.12249        ,21     
K.12327        ,11     K.12327        ,21     
K.14362        ,11     K.14362        ,21     
K.14899        ,11     K.14899        ,21     
K.17219        ,11     K.17219        ,21     
K.17231        ,11     K.17231        ,21     
K.17675        ,11     K.17675        ,21     
K.17945        ,11     K.17945        ,21     
K.18028        ,11     K.18028        ,21     
K.18433        ,11     K.18433        ,21     
K.18622        ,11     K.18622        ,21     
K.19982        ,11     K.19982        ,21     
K.20978        ,11     K.20978        ,21     
K.21915        ,11     K.21915        ,21     
K.3033         ,11     K.3033         ,21     
