Ranking for line to vec score of the best 30 fragments
K.2570
Score                 Weighted Score

K.2570         ,147    K.2570         ,283    
BM.32533       ,26     BM.32533       ,78     
CBS.16         ,26     CBS.16         ,78     
K.2354         ,26     K.2354         ,78     
K.2392         ,26     K.2392         ,78     
K.4167         ,26     K.4167         ,78     
K.6224         ,26     K.6224         ,78     
K.13251        ,21     BM.98745       ,51     
BM.40970       ,20     1879,0708.131  ,45     
K.6839         ,19     K.2024         ,45     
BM.98745       ,17     K.2319         ,42     
BM.99271       ,17     K.3033         ,39     
BM.32545       ,16     K.7926         ,39     
BM.58538       ,16     K.8604         ,39     
K.17036        ,16     BM.40970       ,38     
1879,0708.131  ,15     K.13251        ,37     
BM.36486       ,15     BM.40090       ,33     
K.13811        ,15     K.11095        ,33     
K.14958        ,15     K.1845         ,33     
K.2024         ,15     K.6839         ,33     
BM.50659       ,14     BM.99271       ,31     
K.11782        ,14     K.17036        ,30     
K.12327        ,14     K.2657         ,30     
K.14541        ,14     K.4902         ,30     
K.1696         ,14     K.6080         ,30     
K.17563        ,14     BM.34452       ,27     
K.2319         ,14     BM.35512       ,27     
K.6871         ,14     BM.36486       ,27     
N.2052         ,14     DT.290         ,27     
Rm-II.484      ,14     K.13811        ,27     
